Tensiometro,Finca,Bombeo,Turno,Fecha,Riego_mm
Isla Chica-1-II,Isla Chica,1,II,1/24/2017,3.87
Palo de Arco-1-I,Palo de Arco,1,I,1/25/2017,5.83
Palo de Arco-2-I,Palo de Arco,2,I,1/25/2017,6.56
Isla Chica-1-I,Isla Chica,1,I,1/25/2017,4.99
Palo de Arco-1-II,Palo de Arco,1,II,1/26/2017,1.09
Palo de Arco-2-II,Palo de Arco,2,II,1/26/2017,4.38
Palo de Arco-2-III,Palo de Arco,2,III,1/26/2017,3.99
Palo de Arco-3-I,Palo de Arco,3,I,1/26/2017,4.38
Palo de Arco-3-II,Palo de Arco,3,II,1/26/2017,2.46
Isla Grande-1-II,Isla Grande,1,II,1/26/2017,5.6
Isla Grande-1-II,Isla Grande,1,II,1/26/2017,5.6
Isla Grande-1-I,Isla Grande,1,I,1/26/2017,1.81
Isla Grande-1-I,Isla Grande,1,I,1/26/2017,1.87
Isla Chica-1-III,Isla Chica,1,III,1/26/2017,5.57
Palo de Arco-3-III,Palo de Arco,3,III,1/27/2017,4.38
Palo de Arco-3-II,Palo de Arco,3,II,1/27/2017,3.83
Isla Grande-1-I,Isla Grande,1,I,1/27/2017,3.73
Isla Grande-1-I,Isla Grande,1,I,1/27/2017,3.67
Isla Grande-1-III,Isla Grande,1,III,1/27/2017,2.86
Isla Grande-1-III,Isla Grande,1,III,1/27/2017,2.86
Isla Chica-1-II,Isla Chica,1,II,1/27/2017,5.51
Palo de Arco-1-II,Palo de Arco,1,II,1/28/2017,2.73
Palo de Arco-2-I,Palo de Arco,2,I,1/28/2017,5.47
Palo de Arco-3-III,Palo de Arco,3,III,1/28/2017,2.19
Isla Grande-1-III,Isla Grande,1,III,1/28/2017,2.74
Isla Chica-1-I,Isla Chica,1,I,1/28/2017,5.57
Palo de Arco-1-II,Palo de Arco,1,II,1/30/2017,4.13
Palo de Arco-1-III,Palo de Arco,1,III,1/30/2017,3.96
Palo de Arco-2-II,Palo de Arco,2,II,1/30/2017,3.96
Palo de Arco-2-III,Palo de Arco,2,III,1/30/2017,3.88
Isla Grande-1-II,Isla Grande,1,II,1/30/2017,5.6
Isla Grande-1-II,Isla Grande,1,II,1/30/2017,5.6
Isla Chica-1-III,Isla Chica,1,III,1/30/2017,5.4
Palo de Arco-2-I,Palo de Arco,2,I,1/31/2017,6.67
Palo de Arco-3-I,Palo de Arco,3,I,1/31/2017,8.42
Isla Grande-1-I,Isla Grande,1,I,1/31/2017,5.6
Isla Grande-1-I,Isla Grande,1,I,1/31/2017,5.54
Isla Chica-1-II,Isla Chica,1,II,1/31/2017,5.57
Palo de Arco-2-III,Palo de Arco,2,III,2/1/2017,0.22
Palo de Arco-2-III,Palo de Arco,2,III,2/1/2017,4.62
Palo de Arco-3-II,Palo de Arco,3,II,2/1/2017,8.31
Isla Grande-1-III,Isla Grande,1,III,2/1/2017,2.33
Isla Grande-1-II,Isla Grande,1,II,2/1/2017,1.4
Isla Grande-1-II,Isla Grande,1,II,2/1/2017,1.4
Isla Grande-1-III,Isla Grande,1,III,2/1/2017,2.8
Isla Chica-1-I,Isla Chica,1,I,2/1/2017,4.99
Palo de Arco-2-II,Palo de Arco,2,II,2/2/2017,1.64
Palo de Arco-2-II,Palo de Arco,2,II,2/2/2017,9.84
Palo de Arco-3-III,Palo de Arco,3,III,2/2/2017,10.94
Isla Grande-1-II,Isla Grande,1,II,2/2/2017,4.43
Isla Grande-1-II,Isla Grande,1,II,2/2/2017,4.43
